model,val_mae,val_rmse,val_r2,cv_mae_mean,cv_mae_std,best_params
ExtraTreesRegressor,4.121322123026656,5.9798146993059085,0.8054705265944597,4.16767614506476,0.5617462400440119,"{""max_features"": 1.0}"
GradientBoostingRegressor,4.345490027526434,5.91974993766828,0.8093588357564306,4.318907685237484,0.5233110062336378,"{""learning_rate"": 0.05, ""n_estimators"": 400}"
HistGradientBoostingRegressor,4.499997621001625,6.050268213971458,0.8008596739588887,4.201185736539271,0.3860387841925897,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
RandomForestRegressor,4.726227372694284,6.410650977889516,0.7764296411778057,4.3082970536392695,0.6325299409349148,"{""max_features"": 1.0}"
LinearRegression,7.334535494014358,9.803703677910608,0.4771341106297109,8.449064049165221,0.4464163919408881,{}
Ridge,7.364331713588563,9.735863273314449,0.48434540662595105,8.411585340988221,0.3727986782575364,"{""model__alpha"": 10.0}"
DummyRegressor,11.22237383961645,14.119250107033418,-0.08450915128498515,14.086707495645337,1.019572476754925,{}
