group,n,mae,rmse
1-3 d,21,3.178510719412757,4.681589467624432
4-7 d,19,2.2047638436507158,2.8975904529678167
8-14 d,12,4.420942684130382,5.454983949264425
15-28 d,67,3.350172596781304,5.144375075676952
>28 d,50,3.426258093216692,4.35081844673372
