group,n,mae,rmse
<25 MPa,63,2.7718335310205275,4.17458678378336
25-40 MPa,58,3.300162156120365,4.083241486716607
40-60 MPa,44,3.4000863862065405,4.46102950443544
>60 MPa,4,10.456575122353948,13.746873398501503
